installation,branch,state,joint_base,latitude,longitude,url
Marine Corps Air Ground Combat Center Twentynine Palms,Marine Corps,CA,,+34.4592614,-116.1380779,https://installations.militaryonesource.mil/military-installation/marine-corps-air-ground-combat-center-twentynine-palms/child-and-youth-services/child-and-youth-programs
Marine Corps Air Station Miramar,Marine Corps,CA,,+32.8860884,-117.0860390,https://installations.militaryonesource.mil/military-installation/marine-corps-air-station-miramar/child-and-youth-services/child-and-youth-programs
Marine Corps Base Camp Pendleton,Marine Corps,CA,,+33.3802371,-117.3901006,https://installations.militaryonesource.mil/military-installation/marine-corps-base-camp-pendleton/child-and-youth-services/child-and-youth-programs
Marine Corps Logistics Base Barstow,Marine Corps,CA,,+34.8596330,-116.9442613,https://installations.militaryonesource.mil/military-installation/marine-corps-logistics-base-barstow/child-and-youth-services/child-and-youth-programs
Marine Corps Mountain Warfare Training Center (MWTC),Marine Corps,CA,,+38.4082772,-119.5480747,https://installations.militaryonesource.mil/military-installation/marine-corps-mountain-warfare-training-center-(mwtc)/child-and-youth-services/child-and-youth-programs
Marine Corps Recruit Depot San Diego,Marine Corps,CA,,+32.7377186,-117.1977435,https://installations.militaryonesource.mil/military-installation/marine-corps-recruit-depot-san-diego/child-and-youth-services/child-and-youth-programs
Naval Air Facility El Centro,Navy,CA,,+32.8252316,-115.6680724,https://installations.militaryonesource.mil/military-installation/naval-air-facility-el-centro/child-and-youth-services/child-and-youth-programs
Naval Air Station Lemoore,Navy,CA,,+36.3129657,-119.9361743,https://installations.militaryonesource.mil/military-installation/naval-air-station-lemoore/child-and-youth-services/child-and-youth-programs
Naval Air Station North Island,Navy,CA,Naval Base Coronado,+32.6987955,-117.2091097,https://installations.militaryonesource.mil/military-installation/naval-air-station-north-island/child-and-youth-services/child-and-youth-programs
Naval Air Warfare Center China Lake,Navy,CA,,+35.9786924,-117.6713571,https://installations.militaryonesource.mil/military-installation/naval-air-warfare-center-china-lake/child-and-youth-services/child-and-youth-programs
Naval Base Point Loma,Navy,CA,,+32.6962555,-117.2458314,https://installations.militaryonesource.mil/military-installation/naval-base-point-loma/child-and-youth-services/child-and-youth-programs
Naval Base San Diego,Navy,CA,,+32.6784656,-117.1230936,https://installations.militaryonesource.mil/military-installation/naval-base-san-diego/child-and-youth-services/child-and-youth-programs
Naval Base Ventura County,Navy,CA,,+34.1136442,-119.1136468,https://installations.militaryonesource.mil/military-installation/naval-base-ventura-county/child-and-youth-services/child-and-youth-programs
Naval Support Activity Monterey,Navy,CA,,+36.5976485,-121.8733103,https://installations.militaryonesource.mil/military-installation/naval-support-activity-monterey/child-and-youth-services/child-and-youth-programs
Naval Weapons Station Seal Beach,Navy,CA,,+33.7508498,-118.0636903,https://installations.militaryonesource.mil/military-installation/naval-weapons-station-seal-beach/child-and-youth-services/child-and-youth-programs
Presidio of Monterey (DLI/FLC),Army,CA,,+36.6031270,-121.9122745,https://installations.militaryonesource.mil/military-installation/presidio-of-monterey-(dli/flc)/child-and-youth-services/child-and-youth-programs
